Source,Date,Rating,Reviews,Price,,,
Upwork,"May 13, 2023 - May 18, 2023",5,"""Super fast delivery and excellent work by Mamtaz. Wonderful coding knowledge and very committed web developer. Easy to communicate with her. Truly exceptional and highly recommended!""",150,,Upwork,4.919230769
Upwork,"Jan 2, 2023 - May 14, 2023",4.2,"""All good.""",816.66,,Fiverr,4.958119658
Upwork,"May 9, 2023 - May 13, 2023",5,"""Mamtaz is an experienced and skillful developer. Excellent work commitment. Highly recommended""",80,,People Per Hour,5
Upwork,"Jan 20, 2023 - Jan 24, 2023",5,"""Very satisfied with the work. I needed it fast, and Mamtaz helped to complete within the timeline. She is very cooperative and experienced developer. Highly recommended""",50,,,
Upwork,"Dec 26, 2022 - Jan 5, 2023",5,"""Mamtaz is very proficient with web development knowledge. Recommended for my next project. Thank you""",80,,,
Upwork,"Dec 26, 2022 - Jan 5, 2023",5,"""Mamtaz is very good and helpful developer to work with. This is my another project with her, she fulfilled my expectation. Always recommended to work with Mamtaz""",80,,,
Upwork,"Dec 12, 2022 - Dec 22, 2022",5,"""Another satisfactory work by Mamtaz. She is such as amazing developer. Very Cooperative and helpful to work with. Easy to communicate as always""",100,,,
Upwork,"Dec 8, 2022 - Dec 10, 2022",5,"""Another quality work from Mamtaz, She is very committed web developer.""",50,,,
Upwork,"Dec 5, 2022 - Dec 8, 2022",5,"""This is my another order to Mamtaz, and she has successfully delivered the order. Her code was very clean and perfect. I really enjoyed working with her. I will consider her for my next order.""",100,,,
Upwork,"Nov 30, 2022 - Dec 7, 2022",4.85,"""A very good programmer and always helpful.""",236.66,,,
Upwork,"Nov 26, 2022 - Nov 29, 2022",5,"""Mamtaz is an excellent developer to work with. She is very knowledgeable and professional freelancer. Her code is very neat and clean. Easy to communicate. Always recommended.""",20,,,
Upwork,"Nov 14, 2022 - Nov 25, 2022",4.85,"""Good developer and committed to the project.""",127.5,,,
Upwork,"Nov 11, 2022 - Nov 14, 2022",5,"""Mamtaz is very skillful with quality work. Clean coding. Completed the works even before the due date. She is very cooperative and easy to communicate with her. Highly recommended.""",50,,,
Upwork,"Nov 7, 2022 - Nov 11, 2022",5,"""Another good experience working with her. Very clean coding and, cooperative developer. Good communication. Always recommended. Keep up the good work""",50,,,
Upwork,"Oct 31, 2022 - Nov 4, 2022",5,"""Another good job done by Mamtaz. Very efficient and cooperative. I am happy with her work. Will consider her for next order.""",100,,,
Upwork,"Oct 19, 2022 - Oct 24, 2022",4,,157.5,,,
Upwork,"Oct 11, 2022 - Oct 17, 2022",5,"""It was a pleasure to work her! She completed the project promptly, was extremely thoughtful in her work, and provided detailed feedback. Would recommend!""",10,,,
Upwork,"Oct 11, 2022 - Oct 14, 2022",5,"""Very good experience. Seller is very skillful and easy to communicate. Very cooperative""",5,,,
Upwork,"Oct 6, 2022 - Oct 11, 2022",5,"""Mamtaz is very efficient freelancer. Well organized, punctual and hard working. Definitely will consider for my future project""",20,,,
Upwork,"Oct 3, 2022 - Oct 11, 2022",5,"""She is well experienced and code neat & clean, I love to working with her. Highly recommended.""",50,,,
Upwork,"Oct 1, 2022 - Oct 6, 2022",5,"""Great and creative freelancer. Good communication and serious about her work.""",50,,,
Upwork,"Oct 1, 2022 - Oct 3, 2022",5,"""Amazing Service again! Highly Recommended and will order again. Thanks for good job.""",50,,,
Upwork,"Sep 26, 2022 - Oct 1, 2022",5,"""Great Experience, very easy to working with mamtaz! Looking forward to working with her again!""",50,,,
Upwork,"Sep 6, 2022 - Sep 20, 2022",5,"""She made my day I enjoyed working with her and will likely have additional jobs for her in the future. Highly recommended""",200,,,
Upwork,"Jul 16, 2022 - Jul 21, 2022",5,"""I really enjoyed working with Mamtaz. She did wonderful job and delivered the quality work even before the deadline. Excellent communication skill and very cooperative. Definitely will consider her for my new project. Thumbs up !""",150,,,
Upwork,"Jul 4, 2022 - Jul 7, 2022",5,"""Mamtaz delivered the project naming Crypto landing page design successfully. I am really happy with her performance. She even completed the project before the deadline and first submission was satisfactory. No revision was needed. Surely will consider her for my new project.""",100,,,
Fiverr,1 month ago,5,"As last time Mamtaz's team delivered well recreated react components that required a lot of tweaking, detailed work and well developed front-end craft. Communication is high level which I do appreciate even more. I do recommend to everybody, me myself for sure will be back.",80-350,,Fiverr congregated,
Fiverr,2 months ago,5,"Mamtaz was extremely responsive and polite, and ultimately delivered something very high value for the money. We appreciated working with her.",80-350,,5 Stars,118
